sdaftuar,2018-02-05T16:03:14Z,I believe #11639 reworks some of this as well?,https://github.com/bitcoin/bitcoin/pull/12357#issuecomment-363130176,363130176,
Empact,2018-02-05T16:36:53Z,"Looks like they are compatible, but whichever is second would need to be rebased / adapted.",https://github.com/bitcoin/bitcoin/pull/12357#issuecomment-363141148,363141148,
JeremyRubin,2018-02-07T04:03:52Z,"This is a subset of changes made in https://github.com/bitcoin/bitcoin/pull/11523.\n\nI can rebase it if there's any demand for that work (it seemed not to be the case?)",https://github.com/bitcoin/bitcoin/pull/12357#issuecomment-363650299,363650299,
Empact,2018-02-07T07:23:04Z,"Ah thanks Jeremy, didn’t see yours. Agree there are some clear improvements to be made here. I’ll leave this open and comment on yours.",https://github.com/bitcoin/bitcoin/pull/12357#issuecomment-363679920,363679920,
Empact,2018-02-16T20:49:29Z,"Going for a more incremental approach, in hopes of simplifying review. #12463",https://github.com/bitcoin/bitcoin/pull/12357#issuecomment-366354323,366354323,
