fanquake,2015-07-15T01:24:50Z,For master at least this is superseded by #6419\n,https://github.com/bitcoin/bitcoin/pull/6439#issuecomment-121448315,121448315,
laanwj,2015-07-15T07:01:47Z,"Thanks. Though I think we should move to debian 8 (as in #6419), in the least because it allows verifying the iso with debian's own signature.\n(although this is less of a hassle)\n",https://github.com/bitcoin/bitcoin/pull/6439#issuecomment-121510731,121510731,
laanwj,2015-07-17T06:59:38Z,"Going to merge this first, at least until we sort out the 8.1 issues.\n",https://github.com/bitcoin/bitcoin/pull/6439#issuecomment-122198825,122198825,
laanwj,2015-07-17T07:30:58Z,Backported to 0.10 as 255eced936a484de1ce3b5ef6893327b92df0a93\nBackported to 0.11 as 980f820a922794d644fdbd6877ab0f19979d4e7a\n,https://github.com/bitcoin/bitcoin/pull/6439#issuecomment-122202416,122202416,
