laanwj,2016-11-11T09:53:54Z,utACK fc69eb5\n,https://github.com/bitcoin/bitcoin/pull/9123#issuecomment-259921920,259921920,
morcos,2016-11-11T15:36:12Z,"@laanwj This is fine to merge if those errors are annoying, but I'm actually going to refactor slightly to clean up the rest of fee estimation, so we could wait as well...\n",https://github.com/bitcoin/bitcoin/pull/9123#issuecomment-259983504,259983504,
morcos,2016-11-11T21:32:26Z,Included in #9138 \n,https://github.com/bitcoin/bitcoin/pull/9123#issuecomment-260060396,260060396,
