fanquake,2018-09-02T13:32:57Z,"Please fix any trailing whitespace issues, see linter output [here](https://travis-ci.org/bitcoin/bitcoin/jobs/423605915).\n\nYou'll also need to update any instances where this file is used, such as in [share/setup.nsi.in](https://github.com/bitcoin/bitcoin/blob/271b379e636afa419c5208cb462c07090490266c/share/setup.nsi.in#L79) or [Makefile.am](https://github.com/bitcoin/bitcoin/blob/77168f766f15",https://github.com/bitcoin/bitcoin/pull/14131#issuecomment-417931185,417931185,
ken2812221,2018-09-02T13:37:32Z,"I am not sure it is good to fix the linter issue. When we change `\r\n` to `\n`, it will show just one line if it is opened by Windows built-in notepad.",https://github.com/bitcoin/bitcoin/pull/14131#issuecomment-417931470,417931470,
emilengler,2018-09-02T14:01:39Z,@fanquake Thanks for that reminder I updated it. I also done `grep -rn README_windows.txt` to be 100% sure.,https://github.com/bitcoin/bitcoin/pull/14131#issuecomment-417932963,417932963,
ken2812221,2018-09-02T14:56:57Z,I am NACK about the line ending change thing. IMO it just need to add a file list into the linter to not check `\r\n`.,https://github.com/bitcoin/bitcoin/pull/14131#issuecomment-417936542,417936542,
laanwj,2018-09-06T13:54:03Z,"NACK\n\nLeave it `.txt` please. This file is intended to be opened in notepad (as it is packaged with the binary distribution), changing the extension/layout does nothing to help windows users.",https://github.com/bitcoin/bitcoin/pull/14131#issuecomment-419101997,419101997,
practicalswift,2018-09-07T05:06:23Z,```doc/README_windows.md:3: MD001 Header levels should only increment by one level at a time```,https://github.com/bitcoin/bitcoin/pull/14131#discussion_r215846986,215846986,doc/README_windows.md
practicalswift,2018-09-07T05:06:34Z,```doc/README_windows.md:9: MD012 Multiple consecutive blank lines```,https://github.com/bitcoin/bitcoin/pull/14131#discussion_r215847002,215847002,doc/README_windows.md
practicalswift,2018-09-07T05:06:46Z,```doc/README_windows.md:18: MD013 Line length```,https://github.com/bitcoin/bitcoin/pull/14131#discussion_r215847024,215847024,doc/README_windows.md
practicalswift,2018-09-07T05:07:41Z,```doc/README_windows.md:10: MD022 Headers should be surrounded by blank lines```,https://github.com/bitcoin/bitcoin/pull/14131#discussion_r215847146,215847146,doc/README_windows.md
practicalswift,2018-09-07T05:08:07Z,```doc/README_windows.md:3: MD022 Headers should be surrounded by blank lines```,https://github.com/bitcoin/bitcoin/pull/14131#discussion_r215847276,215847276,doc/README_windows.md
