SomeoneWeird,2013-06-07T06:08:12Z,"tested, ack.\n",https://github.com/bitcoin/bitcoin/pull/2747#issuecomment-19090621,19090621,
jgarzik,2013-06-07T12:46:40Z,Looks pretty good.  Please use bool for boolean choices (example: gettxout).  ACK if that is fixed.\n,https://github.com/bitcoin/bitcoin/pull/2747#issuecomment-19104718,19104718,
sipa,2013-06-07T16:31:02Z,"Agree with @jgarzik. ACK otherwise.\n\nEDIT: hmm, it seems getrawtransaction uses 0/1 for verbose... meh\n",https://github.com/bitcoin/bitcoin/pull/2747#issuecomment-19117836,19117836,
luke-jr,2013-06-07T17:24:35Z,"Indeed... Boolean does make more sense, but usually consistency wins so far. Otherwise, we should be using Satoshi values everywhere...\n\n@jgarzik Any further thoughts? Agree/disagree?\n",https://github.com/bitcoin/bitcoin/pull/2747#issuecomment-19120821,19120821,
jgarzik,2013-06-07T17:26:06Z,"Be consistent with gettxout, and use a boolean/get_bool()...  :)\n",https://github.com/bitcoin/bitcoin/pull/2747#issuecomment-19120909,19120909,
luke-jr,2013-06-07T17:45:11Z,Done\n,https://github.com/bitcoin/bitcoin/pull/2747#issuecomment-19121995,19121995,
jgarzik,2013-06-07T17:49:01Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/2747#issuecomment-19122226,19122226,
