sipa,2018-05-30T23:08:04Z,"utACK fa36aa79655f7ec76043976f3c1c207afa9bfd6f, with or without @promag's suggestion.",https://github.com/bitcoin/bitcoin/pull/13351#issuecomment-393348107,393348107,
Empact,2018-05-30T23:18:18Z,utACK fa36aa7,https://github.com/bitcoin/bitcoin/pull/13351#issuecomment-393349885,393349885,
practicalswift,2018-05-31T08:45:40Z,"utACK fa36aa7 modulo @promag:s suggestion – putting it above is more robust.\n\nHow was this issue found?\n\nWould running the test suite under `valgrind` have catched this, or was this condition simply not covered by tests?",https://github.com/bitcoin/bitcoin/pull/13351#issuecomment-393460167,393460167,
MarcoFalke,2018-05-31T09:44:26Z,@practicalswift The gui crashes on point and the tests I added in this commit fail valgrind.,https://github.com/bitcoin/bitcoin/pull/13351#issuecomment-393476339,393476339,
promag,2018-05-30T19:58:28Z,IMO this could be in line 86 above where `vSolutionsRet` is also cleared/initialized. It also prevents the same problem if in the future early failure returns are added.,https://github.com/bitcoin/bitcoin/pull/13351#discussion_r191903114,191903114,src/script/standard.cpp
Empact,2018-05-30T23:16:38Z,Could also drop lines 154 & 155 if you move this up.,https://github.com/bitcoin/bitcoin/pull/13351#discussion_r191950777,191950777,src/script/standard.cpp
MarcoFalke,2018-06-04T18:06:11Z,"> Could also drop lines 154 & 155 if you move this up.\n\nThat would just make it more fragile. As I understand this function signature, it is meant to return a ""pair"" of `typeRet` and `vSolutionsRet`. Setting that pair should happen as close to the return statement as possible (regardless of early-return or not).\n",https://github.com/bitcoin/bitcoin/pull/13351#discussion_r192831200,192831200,src/script/standard.cpp
MarcoFalke,2018-06-04T18:07:51Z,"> IMO this could be in line 86 above where vSolutionsRet is also cleared/initialized. It also prevents the same problem if in the future early failure returns are added.\n\nThis will silence `valgrind` and thus *hide* the same problem in the future instead of preventing it.",https://github.com/bitcoin/bitcoin/pull/13351#discussion_r192831691,192831691,src/script/standard.cpp
MarcoFalke,2018-06-04T18:28:00Z,"I could add a `vSolutionsRet.clear();` in this line, if people prefer...",https://github.com/bitcoin/bitcoin/pull/13351#discussion_r192837611,192837611,src/script/standard.cpp
promag,2018-06-04T23:32:33Z,I just consider best practice to reset outputs in the begin if the function has multiple exits. LGTM still.,https://github.com/bitcoin/bitcoin/pull/13351#discussion_r192909484,192909484,src/script/standard.cpp
