prayank23,2021-08-13 00:27:45,Concept ACK ,https://github.com/bitcoin/bitcoin/pull/22693#issuecomment-898061806,898061806,
kristapsk,2021-08-27 11:58:53,Concept ACK,https://github.com/bitcoin/bitcoin/pull/22693#issuecomment-907148399,907148399,
DrahtBot,2021-09-09 17:33:06,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#23065](https://github.com/bitcoin/bitcoin/pull/23065) (Allow UTXO locks to be written to wallet DB by meshcollider)\n* [",https://github.com/bitcoin/bitcoin/pull/22693#issuecomment-916298781,916298781,
DrahtBot,2021-09-26 11:35:36,"<!--cf906140f33d8803c4a75a2196329ecb-->\n🐙 This pull request conflicts with the target branch and [needs rebase](https://github.com/bitcoin/bitcoin/blob/master/CONTRIBUTING.md#rebasing-changes).\n\n<sub>Want to unsubscribe from rebase notifications on this pull request? Just convert this pull request to a ""draft"".</sub>",https://github.com/bitcoin/bitcoin/pull/22693#issuecomment-927289983,927289983,
kristapsk,2021-08-27 11:55:18,nit - return type of `vector::size()` is `vector::size_type` which is `size_t` not `uint32_t`.,https://github.com/bitcoin/bitcoin/pull/22693#discussion_r697381362,697381362,src/wallet/wallet.cpp
