promag,2018-06-10T21:25:59Z,"How about `getchaintxstats`?https://github.com/bitcoin/bitcoin/blob/56f69360dc98bd68704f19646a84d045788d199e/src/rpc/blockchain.cpp#L1575\n\nAnd there may be other examples.\n\nConcept ACK.",https://github.com/bitcoin/bitcoin/pull/13424#issuecomment-396083333,396083333,
Empact,2018-06-11T02:58:03Z,"Thanks @promag, I audited `uint256S` use and found 4 more cases. Also added more testing wherever the test outcomes changed.",https://github.com/bitcoin/bitcoin/pull/13424#issuecomment-396109426,396109426,
Empact,2018-06-11T03:30:14Z,"Made the `get_str` call guaranteed, which means non-string values fail with `-1, ""JSON value is not a string as expected""`, rather than a length failure.",https://github.com/bitcoin/bitcoin/pull/13424#issuecomment-396113082,396113082,
DrahtBot,2018-06-14T20:27:05Z,"<!--e57a25ab6845829454e8d69fc972939a-->Note to reviewers: This pull request conflicts with the following ones:\n\n* #14307 (Consolidate redundant implementations of ParseHashStr by Empact)\n* #12153 (Avoid permanent cs_main lock in getblockheader by promag)\n* #10973 (Refactor: separate wallet from node by ryanofsky)\n\nIf you consider this pull request important, please also help to review the co",https://github.com/bitcoin/bitcoin/pull/13424#issuecomment-397427489,397427489,
DrahtBot,2018-08-02T22:35:04Z,"<!--5d09a71f8925f3f132321140b44b946d-->The last travis run for this pull request was 52 days ago and is thus outdated. To trigger a fresh travis build, this pull request should be closed and re-opened.",https://github.com/bitcoin/bitcoin/pull/13424#issuecomment-410089008,410089008,
Empact,2018-08-07T16:51:28Z,@kallewoof fair enough since I'm touching those lines anyway. Updated.,https://github.com/bitcoin/bitcoin/pull/13424#issuecomment-411125756,411125756,
MarcoFalke,2018-08-08T12:59:22Z,utACK 5eb20f81d9568284dca735e4f770f41a48aa5660,https://github.com/bitcoin/bitcoin/pull/13424#issuecomment-411396212,411396212,
Empact,2018-06-08T18:50:57Z,Note this trades `ParseHashStr`'s `std::runtime_error`-based encoding-only test for `ParseHashV`'s `JSONRPCError`-based length and encoding tests.,https://github.com/bitcoin/bitcoin/pull/13424#discussion_r194150569,194150569,src/rpc/mining.cpp
