jgarzik,2014-08-13T00:38:21Z,"ut ACK, assuming pulltester ACK ;p\n",https://github.com/bitcoin/bitcoin/pull/4689#issuecomment-51996702,51996702,
BitcoinPullTester,2014-08-13T00:49:31Z,"Automatic sanity-testing: PASSED, see http://jenkins.bluematt.me/pull-tester/p4689_af026ec2542d79840f2f39047c46c3204044442e/ for binaries and test log.\nThis test script verifies pulls every time they are updated. It, however, dies sometimes and fails to test properly.  If you are waiting on a test, please check timestamps to verify that the test.log is moving at http://jenkins.bluematt.me/pull-te",https://github.com/bitcoin/bitcoin/pull/4689#issuecomment-51997404,51997404,
laanwj,2014-08-13T06:24:24Z,@theuni thanks\nBTW: I suppose that this ilne at the top of Makefile.am can go too:\n\n```\nAM_CPPFLAGS =  $(INCLUDES)\n```\n,https://github.com/bitcoin/bitcoin/pull/4689#issuecomment-52014050,52014050,
theuni,2014-08-14T16:15:43Z,Rebased and removed a few more things as suggested by @laanwj \n,https://github.com/bitcoin/bitcoin/pull/4689#issuecomment-52205268,52205268,
laanwj,2014-08-15T08:37:40Z,How did toolbar.png end up in here :)\n,https://github.com/bitcoin/bitcoin/pull/4689#issuecomment-52285571,52285571,
laanwj,2014-08-15T08:44:37Z,Merged via 6b09940 (without toolbar :ghost:)\n,https://github.com/bitcoin/bitcoin/pull/4689#issuecomment-52286022,52286022,
theuni,2014-08-15T16:10:08Z,"Heh, no clue how that happened. Busted rebase somewhere I guess. Thanks for catching and fixing.\n",https://github.com/bitcoin/bitcoin/pull/4689#issuecomment-52325245,52325245,
