hebasto,2020-04-06 21:47:27,cc: @promag ,https://github.com/bitcoin/bitcoin/pull/18549#issuecomment-610054374,610054374,
MarcoFalke,2020-04-06 23:29:55,Has this ever worked? When did it break?,https://github.com/bitcoin/bitcoin/pull/18549#issuecomment-610088879,610088879,
promag,2020-04-06 23:30:47,Tested ACK 56fe839e4e6d837b95b920a524570d11f7c3c5ce on bionic with qt 5.9.5.,https://github.com/bitcoin/bitcoin/pull/18549#issuecomment-610089155,610089155,
promag,2020-04-07 00:03:29,"@MarcoFalke I don't know, it was added in #14573, maybe it never worked right on linux.",https://github.com/bitcoin/bitcoin/pull/18549#issuecomment-610098672,610098672,
promag,2020-04-07 08:43:02,@MarcoFalke I confirm that the problem always existed since it was introduced in 95a5a9fccb8b4296d2db1270a9798c359c9c1cf6.,https://github.com/bitcoin/bitcoin/pull/18549#issuecomment-610258817,610258817,
