laanwj,2020-03-25 15:43:46,ACK fae1e992898aa6b36c402cec4085fbf6da9b33ad (provided this passes travis),https://github.com/bitcoin/bitcoin/pull/18430#issuecomment-603915141,603915141,
MarcoFalke,2020-03-25 16:17:11,"Not sure why GitHub doesn't link it, but the run is here: https://travis-ci.org/github/bitcoin/bitcoin/builds/666834943",https://github.com/bitcoin/bitcoin/pull/18430#issuecomment-603935659,603935659,
MarcoFalke,2020-03-25 17:36:41,Shaves off about 20s :man_shrugging: Better than nothing.,https://github.com/bitcoin/bitcoin/pull/18430#issuecomment-603982017,603982017,
