sipa,2017-01-03T22:15:10Z,Needs rebase.,https://github.com/bitcoin/bitcoin/pull/9457#issuecomment-270240790,270240790,
laanwj,2017-01-04T11:08:02Z,"utACK, but needs rebase after the other translation changes",https://github.com/bitcoin/bitcoin/pull/9457#issuecomment-270347437,270347437,
MarcoFalke,2017-01-04T11:15:40Z,Rebased,https://github.com/bitcoin/bitcoin/pull/9457#issuecomment-270348691,270348691,
laanwj,2017-01-03T07:55:12Z,"Strange, this one is still missing - You might have to run `make translate` again to make sure these end up in bitcoin_en.ts as well.",https://github.com/bitcoin/bitcoin/pull/9457#discussion_r94367487,94367487,src/qt/bitcoinstrings.cpp
MarcoFalke,2017-01-03T10:55:50Z,Good catch! Added a commit to run `make translate` and force pushed.,https://github.com/bitcoin/bitcoin/pull/9457#discussion_r94387288,94387288,src/qt/bitcoinstrings.cpp
