practicalswift,2020-06-08 11:16:48,"Concept ACK\n\nNice first-time contribution @bliotti - welcome as a contributor! :)",https://github.com/bitcoin/bitcoin/pull/19205#issuecomment-640539908,640539908,
Sjors,2020-06-09 09:33:02,"`text=True` causes an error for me: `TypeError: __init__() got an unexpected keyword argument 'text'`\n\nAlso:\n```\n  File ""/Users/sjors/.pyenv/versions/3.5.6/lib/python3.5/subprocess.py"", line 383, in run\n    with Popen(*popenargs, **kwargs) as process:\nTypeError: __init__() got an unexpected keyword argument 'capture_output'\n```",https://github.com/bitcoin/bitcoin/pull/19205#discussion_r437274562,437274562,contrib/devtools/previous-release.py
fjahr,2020-07-02 09:34:54,nit: the comments below the change are not aligned anymore,https://github.com/bitcoin/bitcoin/pull/19205#discussion_r448875709,448875709,test/functional/wallet_upgradewallet.py
fjahr,2020-07-02 09:38:51,nit: Not sure if that key's voice is good enough ;),https://github.com/bitcoin/bitcoin/pull/19205#discussion_r448878031,448878031,contrib/devtools/previous-release.py
fjahr,2020-07-02 12:47:16,The `.sh` file name had an underscore while the `.py` file currently has a dash. Either rename the file or update the docs so that copy+paste of this line works again.,https://github.com/bitcoin/bitcoin/pull/19205#discussion_r448975211,448975211,test/functional/feature_backwards_compatibility.py
MarcoFalke,2020-07-02 16:39:11,"I don't really like the formatting changes here. This makes it harder to read, imo.\n\nMaybe leave them out for now?",https://github.com/bitcoin/bitcoin/pull/19205#discussion_r449141328,449141328,test/functional/wallet_upgradewallet.py
bliotti,2020-07-03 05:14:16,This was unintentional. This was from an auto formatting tool I was not paying attention to. It will be fixed and realigned.,https://github.com/bitcoin/bitcoin/pull/19205#discussion_r449379036,449379036,test/functional/wallet_upgradewallet.py
bliotti,2020-07-03 05:31:41,All of this formatting was unintentional. I didn't notice it auto formatted the file when I edited the one line above. It will be put back.,https://github.com/bitcoin/bitcoin/pull/19205#discussion_r449383295,449383295,test/functional/wallet_upgradewallet.py
bliotti,2020-07-03 05:33:31,good catch.,https://github.com/bitcoin/bitcoin/pull/19205#discussion_r449383692,449383692,test/functional/feature_backwards_compatibility.py
bliotti,2020-07-03 05:48:31,What are you thinking? Maybe there's no need for this check? I am ok with losing it.,https://github.com/bitcoin/bitcoin/pull/19205#discussion_r449387421,449387421,contrib/devtools/previous-release.py
fjahr,2020-07-03 09:12:05,"sorry, I was just trying to be be funny. All I wanted to say was there is a typo: should probably be `signingKey` not `singingKey` :)",https://github.com/bitcoin/bitcoin/pull/19205#discussion_r449473157,449473157,contrib/devtools/previous-release.py
bliotti,2020-07-04 04:55:58,ohh lol... Totally went over my head. 😑 Thanks 👍 ,https://github.com/bitcoin/bitcoin/pull/19205#discussion_r449739568,449739568,contrib/devtools/previous-release.py
MarcoFalke,2020-07-04 11:46:44,"extras means tags?\n\nIf yes, this can be a positional argument with the `+` specifier (one or more instances)",https://github.com/bitcoin/bitcoin/pull/19205#discussion_r449766374,449766374,contrib/devtools/previous_release.py
MarcoFalke,2020-07-04 11:49:06,"I think python prints the help by itself already, no?",https://github.com/bitcoin/bitcoin/pull/19205#discussion_r449766521,449766521,contrib/devtools/previous_release.py
bliotti,2020-07-05 12:57:19,removed usage in 9c34aff ,https://github.com/bitcoin/bitcoin/pull/19205#discussion_r449874680,449874680,contrib/devtools/previous_release.py
bliotti,2020-07-05 12:57:21,added in 9c34aff ,https://github.com/bitcoin/bitcoin/pull/19205#discussion_r449874690,449874690,contrib/devtools/previous_release.py
