gmaxwell,2017-06-05T20:22:11Z,bleh please don't use reject for this.,https://github.com/bitcoin/bitcoin/pull/10512#issuecomment-306294054,306294054,
luke-jr,2017-06-08T06:42:30Z,@gmaxwell Do you have a better solution? It doesn't seem like we have any other way to determine that case?,https://github.com/bitcoin/bitcoin/pull/10512#issuecomment-307013668,307013668,
luke-jr,2017-06-13T06:32:58Z,"This breaks because compact blocks allows relaying invalid blocks without penalty, but there is no indication at all even later, whether the peer sending you the compact block has accepted it himself or not... so basically we can almost never know if a compact-block peer is on a different tip than us.\n\nIdeas for how to solve this?",https://github.com/bitcoin/bitcoin/pull/10512#issuecomment-308020698,308020698,
luke-jr,2017-06-14T21:43:21Z,"Closed due to impracticality, and superceded by #10593",https://github.com/bitcoin/bitcoin/pull/10512#issuecomment-308567161,308567161,
